"gene","drug","approved","score","interaction_types","sources"
"FLT3","FLT3 INHIBITOR FF-10101 SUCCINATE",FALSE,0.472607049047167,"","CIViC"
"FLT3","C-1311",FALSE,0.0472607049047167,"inhibitor","ChEMBL"
"FLT3","FLT-3 INHIBITOR II",FALSE,0.118151762261792,"inhibitor","GuideToPharmacology"
"FLT3","SONIDEGIB",TRUE,0.0945214098094334,"","CKB-CORE"
"FLT3","BARASERTIB-HQPA",FALSE,0.0107410692965265,"","DTC"
"FLT3","FAMITINIB",FALSE,0.0337576463605119,"inhibitor","ChEMBL"
"FLT3","LWY713",FALSE,0.236303524523584,"","GuideToPharmacology"
"FLT3","LAS38096",FALSE,0.021482138593053,"","DTC"
"FLT3","DUBERMATINIB",FALSE,0.118151762261792,"","CKB-CORE"
"FLT3","TANDUTINIB",FALSE,0.42534634414245,"inhibitor; inhibitor","CIViC; CKB-CORE; TdgClinicalTrial; MyCancerGenome; GuideToPharmacology"
"FLT3","TYRPHOSTIN AG 1296",FALSE,0.708910573570751,"","CIViC"
"FLT3","CHEMBL:CHEMBL3326006",FALSE,0.157535683015722,"","CKB-CORE"
"FLT3","VS-5584",FALSE,0.0945214098094334,"","CKB-CORE"
"FLT3","CEP-2563 DIHYDROCHLORIDE",FALSE,0.0139002073249167,"inhibitor","ChEMBL"
"FLT3","ENMD-981693",FALSE,0.0124370276065044,"inhibitor","ChEMBL"
"FLT3","PEXIDARTINIB HYDROCHLORIDE",TRUE,0.0787678415078612,"inhibitor","ChEMBL"
"FLT3","BAY 61-3606",FALSE,0.00590758811308959,"","DTC"
"FLT3","NUVISERTIB",FALSE,0.0590758811308959,"inhibitor","GuideToPharmacology"
"FLT3","RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1",FALSE,0.0225050975736746,"","NCI"
"FLT3","COMPOUND 7D [PMID: 29672049]",FALSE,0.236303524523584,"inhibitor","GuideToPharmacology"
"FLT3","SGI-1776",FALSE,0.0945214098094334,"","CKB-CORE"
"FLT3","ARSENIC TRIOXIDE",TRUE,0.0181771941941218,"","CKB-CORE"
"FLT3","ANTISERUM",FALSE,0.0135030585442048,"","NCI"
"FLT3","TRETINOIN",TRUE,0.0135806623289416,"","CIViC; CKB-CORE"
"FLT3","DORSOMORPHIN",FALSE,0.0262559471692871,"inhibitor","GuideToPharmacology"
"FLT3","TOZASERTIB",FALSE,0.00337576463605119,"","DTC"
"FLT3","GILTERITINIB FUMARATE",TRUE,0.118151762261792,"inhibitor","ChEMBL"
"FLT3","TAZEMETOSTAT",TRUE,0.0590758811308959,"","CKB-CORE"
"FLT3","FLT3 INHIBITOR BMF-500",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","FLT3 TYROSINE KINASE INHIBITOR TTT-3002",FALSE,0.472607049047167,"","CIViC"
