"gene","stat"
"APOBEC3F",1.8501754406266
"RALGPS1",1.84660166073058
"ICE1",1.84658825143095
"DNAJC21",1.84390512652241
"RNF115",1.84226044665376
"TRBV6-5",1.84146436251285
"SPAG4",1.84142078154113
"SLC9A6",1.84118964151855
"PGM2L1",1.84062142245548
"LMTK3",1.83803356162197
"AC008443.1",1.83751635849292
"DUSP12",1.8372580098743
"RABAC1",1.83694744941105
"GPAT2",1.83691126972808
"CERS5",1.83664318258567
"U2AF1L4",1.83633381924089
"TPR",1.83538561985114
"CEP350",1.83341365048894
"ZNF777",1.83301344586205
"PELP1",1.83282453462435
"CCDC130",1.83274777495593
"SLC6A3",1.83121392045508
"CD8B",1.83118617882082
"JMJD4",1.83044237018468
"PHRF1",1.82938179734047
"TEFM",1.82825161859194
"SRSF11",1.82761951485731
"CSNK1G2",1.82655494462283
"NEDD1",1.82637913316169
"CRIP2",1.82632720217342
"CASP7",1.82545096084659
"TRAV38-2DV8",1.82448300633146
"ZACN",1.823428422216
"CSE1L",1.8232638430514
"MED23",1.8207880627629
"EOMES",1.82069398723767
"VEZT",1.81995508587265
"CEP57",1.81941143600305
"POGLUT2",1.81865260053202
"THRAP3",1.81858260529117
"CDKN2B-AS1",1.81794000727406
"TGDS",1.81770265321117
"D2HGDH",1.81757252606864
"SLC25A46",1.81714634584489
"SNPH",1.81708010536005
"GATA3",1.81651164200959
"TFB1M",1.81506076140395
"ACTL6A",1.81413683496471
"NAE1",1.81406653530107
"IGHV3-20",1.81302440037897
"SPOCK2",1.81149565056067
"ZNF764",1.81141246366494
"PDHB",1.81061917296434
"ZNF217",1.81052570804381
"RAB40B",1.81032770893771
"MRPL36",1.80767824384128
"GBF1",1.80632309201586
"SETMAR",1.80533215608103
"PRDM15",1.80498713657153
"PWP1",1.80491953792585
"ZNF746",1.80450928254181
"TRBV12-3",1.80330661675363
"BUB3",1.79982495962721
"EXOG",1.79977089593929
"SMAD4",1.79966112259377
"NAB1",1.79754386180748
"TAOK2",1.7974594706981
"DKK3",1.79589915089409
"TRIM35",1.79514954288346
