"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC005921.2",4.91940743562337,-0.266213258359788,1.27841023628895,-0.208237739970362,0.835043342183018,NA
"SPATC1",14.3614769610697,0.209750803146897,1.00850389904518,0.207982143991196,0.835242909530792,0.975324240749339
"SNX8",467.909023186724,0.111428115768244,0.535774139071812,0.207975913061584,0.835247774724572,0.975324240749339
"TSEN15",447.33170905623,-0.096267723506181,0.463032130041355,-0.207907221249599,0.835301410634578,0.975324240749339
"POLR2K",2207.08733744436,0.0723697460634362,0.348201167502926,0.207838895493732,0.835354761480704,0.975324240749339
"SMURF1",247.195754485659,-0.0702862863804386,0.338313859261078,-0.207754676482817,0.835420523310357,0.975324240749339
"DGUOK",1411.73275112562,-0.0596162193221109,0.287209359054553,-0.207570601175247,0.83556426124085,0.975324240749339
"PNN",3971.21497093788,0.072666047463459,0.350261003872321,0.207462568370722,0.835648622814298,0.975324240749339
"POLRMT",245.599406118226,0.0704813347683737,0.339756888812407,0.207446374420061,0.835661268646934,0.975324240749339
"CKMT2-AS1",76.5985321545738,0.10334261218352,0.49820869060781,0.207428361109967,0.835675335264628,0.975324240749339
"TRBJ2-2",9.34188338327503,0.205178814162706,0.989370170448819,0.207383262899091,0.835710552747698,0.975324240749339
"CCDC113",19.2451540770345,0.148700708029881,0.71758518851426,0.207223769957908,0.835835104453547,0.975324240749339
"KTN1",4339.41872922467,-0.0621146124596478,0.299801547789399,-0.207185763107805,0.835864785484372,0.975324240749339
"MMUT",207.358082019325,0.0727016144084866,0.350927402645159,0.207169955553454,0.835877130288596,0.975324240749339
"SNTG2",7.62786404278731,-0.275498650270996,1.33023402992488,-0.207105399556313,0.835927545283983,0.975324240749339
"NBN",863.753204353306,-0.0692106075626868,0.334234238275804,-0.207072165675545,0.835953499540557,0.975324240749339
"ZNF462",9.29074005364104,-0.20611355967129,0.995387755941686,-0.207068610640379,0.835956275883378,0.975324240749339
"FBXL8",93.3369647673912,-0.0925602715819926,0.447024061923566,-0.207058812860546,0.835963927575145,0.975324240749339
"PCYT1A",740.715826686038,-0.0599616638284555,0.289589343500283,-0.207057563319477,0.835964903420102,0.975324240749339
"LINC01409",66.4022850582579,0.128129421878931,0.618829271814451,0.207051326940703,0.835969773803035,0.975324240749339
"ALOX12B",3.72405096283972,-0.286078653957472,1.38181925303144,-0.207030444343478,0.835986082390813,NA
"DCAF15",499.879348366051,-0.0714319512087606,0.345078343263832,-0.207002127497021,0.836008196983312,0.975324240749339
"AC139887.2",73.1033809914491,0.091726482523578,0.443162656755899,0.206981525011712,0.836024286976761,0.975324240749339
"SH2B1",349.331003464639,-0.0679924475041822,0.328605627677017,-0.206911999605227,0.836078584977783,0.975324240749339
"GIT2",928.295089218918,0.0586622303185627,0.283514937058233,0.206910545621494,0.836079720519363,0.975324240749339
"PIK3C2A",644.952585532837,0.0718707104578953,0.347365173449256,0.206902464470562,0.836086031794897,0.975324240749339
"DDX59",372.132833472826,-0.0675883598012679,0.327083592989278,-0.206639407325709,0.836291481821336,0.975324240749339
"FANCB",64.2542552959895,0.108159545317752,0.523505693946399,0.206606244341683,0.836317383206957,0.975324240749339
"AC103858.1",4.87392598266224,0.259999841160038,1.25928391401989,0.206466419736964,0.836426592791728,NA
"ZNF235",203.906243927256,-0.0971058685799531,0.470477472672881,-0.206398550876994,0.836479602696309,0.975324240749339
"BCL2L11",1734.17497750297,0.084285353779539,0.408608793859841,0.206273959459742,0.836576918465443,0.975324240749339
"COL4A3",12.9469221835214,0.191251661888261,0.92718590166203,0.206271106522901,0.83657914686447,0.975324240749339
"BAG6",998.980507905684,0.0635892929579164,0.308386016526041,0.206200312433903,0.836634443804429,0.975324240749339
"PRPF8",2459.44122080559,-0.0566335230866179,0.274654059994495,-0.206199475397352,0.836635097614689,0.975324240749339
"LY6G5C",65.2281929778589,-0.117932167915005,0.572182316705288,-0.20610942434236,0.836705437261482,0.975324240749339
"UCP2",3797.84209241142,-0.0718253100115814,0.348612993374949,-0.206031649354877,0.836766189018013,0.975324240749339
"KDSR",1216.7676682958,0.0713015668540012,0.346073232447023,0.206030285410519,0.836767254433693,0.975324240749339
"AC109460.1",24.4558166106771,0.143283144154564,0.695528426167069,0.206006165620249,0.83678609513644,0.975324240749339
"ACOT8",246.852171524024,-0.0730722933791014,0.354979359471192,-0.205849414703875,0.83690854033174,0.975324240749339
"ZSWIM9",66.3047965409859,-0.111938205460949,0.543798670077655,-0.205844941557073,0.836912034566017,0.975324240749339
"AC022413.2",10.9152038419578,-0.194457107560429,0.944944667941066,-0.205786766313133,0.836957478914484,0.975324240749339
"RARS2",333.049849246393,-0.0673210175311338,0.327168190046313,-0.205768835660961,0.836971485786338,0.975324240749339
"EPHX4",10.2121523354362,-0.19401254570184,0.942984869466271,-0.205743010289923,0.836991659859632,0.975324240749339
"KCNJ11",3.64136271965046,-0.326660502165249,1.58777723683585,-0.205734466137217,0.836998334341563,NA
"BATF3",116.045928759953,0.0876964415713482,0.426274992471371,0.20572738987788,0.837003862150184,0.975324240749339
"IGSF10",9.72081760520143,-0.212214551319905,1.03174938937048,-0.205684203456992,0.83703759854854,0.975324240749339
"MC1R",17.4517895275455,-0.188302618039488,0.915744411515527,-0.205627919397131,0.83708156701941,0.975324240749339
"ALKBH8",105.034276603441,-0.0930520290373075,0.452633899215407,-0.205579010318501,0.837119774651599,0.975324240749339
"ABCA7",270.737464768379,0.0935408272768686,0.455196731042182,0.205495384518041,0.837185103777416,0.975324240749339
"AGAP3",236.472318017784,0.145699821940518,0.709397704049229,0.205385245975377,0.8372711465766,0.975324240749339
"LKAAEAR1",11.0097643274688,-0.193688514141296,0.9431777607008,-0.205357380349365,0.837292916162334,0.975324240749339
"AL355336.1",4.60410875974363,-0.344514578856769,1.67819075055616,-0.205289284750613,0.837346115310995,NA
"C1orf220",5.06565049335785,-0.261517284808726,1.27466032432432,-0.205166254741123,0.837442233419598,NA
"STXBP6",8.31624816621388,0.222194042176963,1.08389176909379,0.204996521343392,0.837574842879356,0.975456118196208
"LGALS9B",5.39484198651536,-0.327462388363173,1.59794350815585,-0.204927387415022,0.837628857218983,NA
"CCND2",3051.07685015588,-0.0741444823766208,0.361885762654746,-0.204883667798111,0.837663015751559,0.975456118196208
"ARHGEF7",1685.21668374269,-0.0636600476833637,0.310770794709966,-0.204845657207833,0.837692714018582,0.975456118196208
"ZNF181",164.540542944221,-0.104774933115569,0.511920911311852,-0.204670156659692,0.83782983833207,0.975456118196208
"DNAJC11",240.743461473554,-0.070130216165205,0.342834953075458,-0.204559702959369,0.837916141943419,0.975456118196208
"CCDC87",7.24331494170936,0.214508780126991,1.04895159576689,0.204498263783244,0.837964148628514,NA
"GIMAP1",955.400439996842,0.0686534892761404,0.335759360828275,0.204472301551865,0.837984434899975,0.975456118196208
"LINC01578",1763.57031882236,0.0625421975298984,0.305917096747611,0.204441654928156,0.838008381583021,0.975456118196208
"CCL24",120.886438784376,0.488125648603354,2.38879869531999,0.204339381782008,0.838088296940451,0.975456118196208
"CAND2",4.24025898723081,0.274285066114538,1.34253542737757,0.204303782619957,0.838116114211611,NA
"DENND10",416.808495918613,0.0699652917556386,0.342612923449395,0.204210895056831,0.838188697730235,0.975456118196208
"INTS8",459.016797832547,-0.0658900295595067,0.322743256997674,-0.204156177180741,0.838231455616287,0.975456118196208
"PGM5",4.78139553134797,0.411833842987263,2.01818749651279,0.204061239948651,0.838305643023595,NA
"CLINT1",1819.49151215041,0.0696508673868381,0.341584851033287,0.203905024406515,0.838427718659765,0.975456118196208
"PIP4P1",1090.87995101451,0.0742865555298196,0.364404819478224,0.203857225698023,0.8384650720438,0.975456118196208
"AC122719.3",10.5291136840815,0.214032703112769,1.05004044110035,0.203832818942174,0.83848414539668,0.975456118196208
"MED30",1073.03493591069,0.0732971687550963,0.359599171081639,0.203830193864534,0.838486196843846,0.975456118196208
