"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADK",60.9505639654597,0.224391410247061,0.642570216594162,0.349209167266436,0.72693228443157,0.999860282006642
"ENKD1",2.48307595573621,0.619718303879668,1.7751807444063,0.349101524356005,0.727013092214415,0.999860282006642
"FANK1",1.37955518770938,-0.655383915755011,1.87754173829579,-0.349064898205613,0.727040588243023,0.999860282006642
"RAB3GAP2",11.7989195464335,-0.257097468485935,0.736612993848332,-0.349026518175799,0.727069401323334,0.999860282006642
"COPE",233.526628248636,-0.132911424616187,0.380870272146813,-0.348967704586181,0.727113555260474,0.999860282006642
"AC020915.2",4.47943867304989,-0.387885117303887,1.11173042623163,-0.34890213324347,0.72716278360717,0.999860282006642
"SNX13",25.8799339050452,-0.218694572905362,0.626875199007688,-0.348864611730604,0.727190953767924,0.999860282006642
"UGGT2",5.41829669178197,0.365021712577259,1.04658318934574,0.348774675814781,0.727258476779054,0.999860282006642
"ZBTB2",21.213741799839,-0.224227962442632,0.642982027684519,-0.348731306301224,0.727291038945128,0.999860282006642
"LRIG1",4.08605282605435,0.445215162787693,1.27676217569398,0.348706416326673,0.727309726752877,0.999860282006642
"PGAM1",193.3701710759,0.128605897770893,0.368824412751725,0.348691391687958,0.727321007580555,0.999860282006642
"RIOX1",9.78777879861165,-0.310562430818745,0.890722984155841,-0.348663317712714,0.727342086294168,0.999860282006642
"USP40",4.16752766235762,-0.419252900673278,1.20293747542837,-0.348524266004749,0.727446493186783,0.999860282006642
"SRSF1",61.463602687225,0.175552870317526,0.503705685034251,0.34852270985504,0.727447661649505,0.999860282006642
"FBXO11",30.728430663281,0.21080363506983,0.604889563005304,0.348499375691794,0.727465182597517,0.999860282006642
"ABHD6",13.4527442824434,-0.268324044042476,0.769966816265254,-0.348487802817255,0.727473872387005,0.999860282006642
"ZFYVE1",15.0921747391408,0.237936412715121,0.682791546850328,0.348475920378197,0.727482794657413,0.999860282006642
"LINC00863",18.0524075692688,-0.22303319892558,0.640028048497222,-0.348474101173003,0.727484160663108,0.999860282006642
"ZNF468",6.14754396550943,-0.358968225132201,1.03024115543032,-0.348431261205308,0.727516328609505,0.999860282006642
"FUT7",4.21439709211107,0.467968214836586,1.3449605599961,0.347941961092111,0.727883771427825,0.999860282006642
"FHOD1",17.1110789367156,0.249510864387442,0.717376841767947,0.347810034921858,0.727982852878064,0.999860282006642
"CYBB",373.426143264511,-0.192694271287865,0.55402675924238,-0.347806794659828,0.72798528649232,0.999860282006642
"AL512353.1",2.48556561830666,-0.508295381125184,1.46187388730568,-0.34770125216615,0.728064556185165,0.999860282006642
"ZNF223",1.82592258774257,0.588194754576335,1.692759260379,0.347476908467565,0.728233063440248,0.999860282006642
"SMAD7",73.7483688136152,0.170693037698783,0.491610511055109,0.347211936808342,0.728432103765718,0.999860282006642
"POMK",1.93465697769073,-0.659426786250157,1.89924026480799,-0.34720556343977,0.728436891512198,0.999860282006642
"LLGL2",1.88925197657107,-0.54303271413922,1.56502048455236,-0.346981218136927,0.728605428987432,0.999860282006642
"PLPP6",1.50718740460921,-0.589132640165621,1.69818050281612,-0.346919917634581,0.728651482744069,0.999860282006642
"NPLOC4",17.1179031091567,0.282329609001543,0.813903883472924,0.346883231219936,0.72867904493141,0.999860282006642
"TCEA1",124.849664275433,-0.141465593929966,0.407854395789185,-0.346853179444674,0.72870162283267,0.999860282006642
"ST5",3.20039102443314,-0.465458069876532,1.3423213542524,-0.34675606433734,0.728774587029951,0.999860282006642
"CPT1A",22.3013887863591,-0.230728879989166,0.665521973412155,-0.346688598133297,0.728825276958928,0.999860282006642
"ABHD14A",18.7961164055493,0.260821712575233,0.752326935637127,0.346686660041422,0.728826733138698,0.999860282006642
"AC096734.2",1.14445629446333,-0.749427969961302,2.161742992531,-0.346677645099644,0.728833506502201,0.999860282006642
"PCSK4",1.14445629446333,-0.749427969961302,2.161742992531,-0.346677645099644,0.728833506502201,0.999860282006642
"RNF227",4.89622566733274,0.378949335277475,1.09312936141404,0.346664675429883,0.728843251282005,0.999860282006642
"CS",43.652367898659,-0.173083657241339,0.499331625865493,-0.346630672434042,0.728868799689254,0.999860282006642
"PACSIN2",63.9471547860952,0.173641541302697,0.500972355139388,0.346609028465021,0.72888506220538,0.999860282006642
"TNFSF4",1.61689523380018,0.602123222825005,1.73773410778383,0.346499053064513,0.728967695733231,0.999860282006642
"ZNF566",1.61689523380018,0.602123222825005,1.73773410778383,0.346499053064513,0.728967695733231,0.999860282006642
"STXBP3",33.3844704841148,0.213540727383883,0.616302813948978,0.34648669866622,0.728976978801529,0.999860282006642
"G6PD",49.1161992676801,0.226713714924936,0.654862962744193,0.346200240085187,0.729192234303073,0.999860282006642
"DUSP2",1189.65807917502,0.170352964766017,0.492094557790556,0.346179330921442,0.729207947053049,0.999860282006642
"LMCD1",4.765305732727,0.54345585653623,1.57011380773343,0.346125136827341,0.729248673183013,0.999860282006642
"TMEM9B",58.7169334059153,-0.163829581181879,0.473458323025917,-0.346027460526682,0.729322077533279,0.999860282006642
