"pathway","pval","padj","log2err","ES","NES","size"
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP",3.75768043097017e-13,2.28368554763128e-11,0.932595211336209,-0.514606696606627,-2.40789022069514,168
"GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_DN",3.87109130916847e-13,2.32493189803589e-11,0.932595211336209,-0.495511096840858,-2.34861986369371,185
"GSE10325_CD4_TCELL_VS_BCELL_DN",3.93929559714116e-13,2.33838418876809e-11,0.932595211336209,-0.500304265937972,-2.36421251095679,182
"GSE3982_MAC_VS_EFF_MEMORY_CD4_TCELL_UP",4.00245063677468e-13,2.34856442537181e-11,0.932595211336209,-0.496196932366858,-2.35322990094981,187
"THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_70PLS_NONRESPONDER_2DY_DN",4.17895528422017e-13,2.42426894613e-11,0.932595211336209,-0.548746252711243,-2.50391082556956,139
"GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_DN",5.18850379831314e-13,2.97610245959423e-11,0.921426003494898,-0.463297506789127,-2.27688802530413,239
"GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP",5.26143457459465e-13,2.98440261147841e-11,0.921426003494898,-0.488019105835641,-2.32351476070941,192
"GSE14000_4H_VS_16H_LPS_DC_TRANSLATED_RNA_UP",6.71964988551365e-13,3.76964974346672e-11,0.921426003494898,-0.492419890005071,-2.335317156144,187
"GSE11057_CD4_CENT_MEM_VS_PBMC_UP",8.62683766505243e-13,4.7869572043579e-11,0.921426003494898,0.474905662023972,2.30196200261702,193
"GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP",9.09586107087449e-13,4.99294309320584e-11,0.910119734774459,-0.485269348975945,-2.31042285390604,192
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN",1.14040180250261e-12,6.19335234231469e-11,0.910119734774459,-0.49633211692334,-2.34917128480183,183
"HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_POSITIVE",1.18718693125297e-12,6.37956766741729e-11,0.910119734774459,0.374729556101977,1.97968047451299,454
"GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP",1.52894875881728e-12,8.1305035560023e-11,0.910119734774459,-0.514467475710042,-2.38785938189301,159
"GSE2706_2H_VS_8H_LPS_STIM_DC_UP",1.67507091179417e-12,8.81570825227758e-11,0.910119734774459,-0.503397915328076,-2.36095394878016,167
"GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_UP",1.89140446854373e-12,9.85267327746503e-11,0.898671232061694,-0.487234639865661,-2.30939117360607,185
"GSE22886_DC_VS_MONOCYTE_DN",2.2145871563745e-12,1.14196640740321e-10,0.898671232061694,-0.483152243620106,-2.29795285200959,191
"GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN",2.98146622830317e-12,1.52203850954877e-10,0.898671232061694,-0.485704989453385,-2.30676061598157,188
"GSE3982_DC_VS_BCELL_UP",3.85910017019236e-12,1.93144180086588e-10,0.887074988399873,-0.488945628507491,-2.30741047241484,181
"GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_UP",3.85360000116611e-12,1.93144180086588e-10,0.887074988399873,-0.475979853830842,-2.2661945054027,192
"GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_UP",5.01687260356435e-12,2.48651792632971e-10,0.887074988399873,-0.495749450353954,-2.32322553429533,171
"GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_DN",5.08937211999019e-12,2.4981966031298e-10,0.887074988399873,-0.476364313476019,-2.26752616399698,193
"GSE10325_CD4_TCELL_VS_MYELOID_UP",5.44408243470318e-12,2.64475634113693e-10,0.887074988399873,0.471653366145078,2.2948535035776,195
"GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP",5.49156066915797e-12,2.64475634113693e-10,0.887074988399873,-0.549679577480194,-2.46422957174542,122
"GSE19198_6H_VS_24H_IL21_TREATED_TCELL_DN",6.07635756406528e-12,2.89904723033208e-10,0.887074988399873,-0.483903973831211,-2.30119225081051,190
"GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN",7.56587110519781e-12,3.57627518444767e-10,0.875325132024659,-0.473314712197569,-2.25300985684923,193
"GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_DN",8.02492526853833e-12,3.75846270604479e-10,0.875325132024659,-0.473696508755904,-2.26767843979034,199
"GSE27670_BLIMP1_VS_LMP1_TRANSDUCED_GC_BCELL_UP",8.27915610092812e-12,3.84228108138528e-10,0.875325132024659,-0.487309565699525,-2.27604786551713,173
"GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN",8.82597277358617e-12,4.05915234316733e-10,0.875325132024659,-0.470866762460598,-2.24185049278198,192
"GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA5_STIM_CD8_TCELL_DN",9.54644965298048e-12,4.35130584629155e-10,0.875325132024659,-0.470346440867651,-2.23937318218681,192
"NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN",9.94613955629782e-12,4.49336658715933e-10,0.875325132024659,0.676970526337433,2.67205315757225,55
"GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP",1.78827498970163e-11,8.00802089686565e-10,0.863415391606693,-0.466722333755017,-2.22162969217573,193
"GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP",1.90947303973714e-11,8.47639988509401e-10,0.863415391606693,-0.486388580311103,-2.27935778559436,171
"ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP",2.34951211712659e-11,1.03398787568373e-09,0.863415391606693,-0.53590961606914,-2.41975362581948,126
"GSE9960_HEALTHY_VS_GRAM_NEG_SEPSIS_PBMC_UP",2.94065325440303e-11,1.28307990288269e-09,0.851339057116899,-0.474537800658625,-2.25665166778148,190
"GSE17974_0H_VS_4H_IN_VITRO_ACT_CD4_TCELL_UP",3.29198814884797e-11,1.42420334744651e-09,0.851339057116899,-0.483177998495715,-2.26903629317925,175
"GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP",3.63096211793124e-11,1.5576522363058e-09,0.851339057116899,-0.467717956244448,-2.22731952798167,196
"GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_UP",3.91934776323927e-11,1.6673558609447e-09,0.851339057116899,-0.46146115046036,-2.19690614142336,194
"GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_4H_DN",4.21514383131084e-11,1.77837266601999e-09,0.851339057116899,-0.461252124989693,-2.19591102116293,194
"GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP",4.28667443487547e-11,1.79372729426551e-09,0.851339057116899,-0.419495131921464,-2.10433728941386,286
"GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP",4.42958049539927e-11,1.83845596983848e-09,0.851339057116899,-0.474622843535677,-2.24980699241174,186
"MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_2DY_UP",4.5645367288093e-11,1.87919032262673e-09,0.851339057116899,-0.642188705503398,-2.58906058864968,64
"GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN",5.31352178266952e-11,2.17004229604223e-09,0.851339057116899,-0.459807097229554,-2.18919416210649,192
"GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN",5.60600122918981e-11,2.27132033928683e-09,0.851339057116899,-0.459470824386693,-2.18759312865376,192
"GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP",6.08125644446934e-11,2.44447355504063e-09,0.839088935621274,-0.467493305639352,-2.22026779444354,188
"GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_24H_DN",6.64652652787577e-11,2.65082171287546e-09,0.839088935621274,-0.487194147667933,-2.26717765296592,162
"GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_DN",9.4300070174973e-11,3.70309121725567e-09,0.839088935621274,-0.467217156068062,-2.2121774528363,184
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN",9.4300070174973e-11,3.70309121725567e-09,0.839088935621274,-0.411243190522816,-2.05320253791266,271
"GSE3982_MAC_VS_TH1_UP",1.01050030341077e-10,3.93786568619235e-09,0.839088935621274,-0.463106581031615,-2.17213303909269,176
"GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_ADULT_UP",1.16908874472985e-10,4.52136215291354e-09,0.826657301178302,-0.477533828776422,-2.2408599071677,178
"GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_4H_DN",1.18372407317428e-10,4.54354240116894e-09,0.826657301178302,-0.46211645642306,-2.16748900581147,176
"GSE19401_PAM2CSK4_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_DN",1.27413561226279e-10,4.85407634373248e-09,0.826657301178302,-0.455568671177536,-2.16853750830855,193
"GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_DN",1.4589395151265e-10,5.51695275905245e-09,0.826657301178302,-0.466983320322307,-2.20376692403179,181
"GSE2826_WT_VS_BTK_KO_BCELL_DN",1.49767910675612e-10,5.62180282352207e-09,0.826657301178302,-0.48593671085915,-2.25543613311958,159
"GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_UP",1.76113981441392e-10,6.56249543984164e-09,0.826657301178302,-0.459888366452504,-2.15703847878951,176
"GSE11057_CD4_EFF_MEM_VS_PBMC_UP",1.81663020058172e-10,6.72021534345628e-09,0.826657301178302,0.441238362133066,2.15128316355845,196
"GSE3982_DC_VS_TH2_DN",2.1198384714727e-10,7.78544992580441e-09,0.826657301178302,0.464343019141779,2.22095634418825,176
"GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_NOD_UP",2.40283554322916e-10,8.76176817727491e-09,0.814035837847908,-0.460571202352099,-2.1807102244349,184
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_NEGATIVE",2.47281164717053e-10,8.95298117645786e-09,0.814035837847908,0.379752342422623,1.94669219168334,354
"GSE22886_NAIVE_CD4_TCELL_VS_DC_DN",2.82768978697468e-10,1.01657439172576e-08,0.814035837847908,-0.454861113553403,-2.16609396156577,196
"GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_UP",3.16771712493592e-10,1.13085286173412e-08,0.814035837847908,-0.473617760969103,-2.21641376904755,165
"GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_UP",4.46197153554367e-10,1.58183088117711e-08,0.814035837847908,0.440117025793409,2.14281372016882,197
"GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP",5.98840173480723e-10,2.10833040387524e-08,0.801215574617779,-0.454679567756183,-2.15508688151701,185
"GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP",7.36207958870573e-10,2.57420659591389e-08,0.801215574617779,-0.455591186208087,-2.12885578540657,174
"GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN",8.01833955023425e-10,2.78460023156094e-08,0.801215574617779,-0.451865080810683,-2.14604460482169,188
"GSE3982_DC_VS_NKCELL_UP",9.49195030328109e-10,3.27408150663851e-08,0.788186810800237,-0.455528304400435,-2.14970892216257,181
"GSE3982_MAST_CELL_VS_TH2_DN",1.07897891611471e-09,3.69677004480912e-08,0.788186810800237,0.443319318889226,2.13603183232286,186
"GSE22886_CD8_TCELL_VS_BCELL_NAIVE_DN",1.22306426767682e-09,4.16249539099343e-08,0.788186810800237,-0.468281667727371,-2.17916766333724,162
"GSE42724_NAIVE_BCELL_VS_PLASMABLAST_DN",1.27361712303738e-09,4.3058380219244e-08,0.788186810800237,-0.451817187519975,-2.13508442786787,182
"GSE45365_NK_CELL_VS_BCELL_MCMV_INFECTION_UP",1.28330178870004e-09,4.31003659954849e-08,0.788186810800237,-0.449220562876916,-2.12921233021596,185
"GSE17721_0.5H_VS_24H_CPG_BMDC_UP",1.39489187103716e-09,4.65419804029066e-08,0.788186810800237,-0.449646825090116,-2.13828330713366,190
