"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.04107404659586e-34,1.98328738508524,0.259,0.067,2.51034184855659e-30,"10","SMURF2"
1.04695764164988e-34,1.62019363487863,0.38,0.126,2.52452896131035e-30,"10","ACP2"
1.10489899076582e-34,1.32405600709763,0.675,0.37,2.66424293643362e-30,"10","IL10RA"
1.2498674942088e-34,1.37903541161206,0.518,0.215,3.01380548878568e-30,"10","MACF1"
1.67545822428846e-34,1.67262117713363,0.358,0.115,4.04003241622676e-30,"10","PPP1R14B"
2.04037345823706e-34,1.73933284717467,0.343,0.108,4.91995251984702e-30,"10","PRKACA"
2.45974256795776e-34,1.90045123452394,0.274,0.073,5.93117725411654e-30,"10","RBM26"
2.67713906427445e-34,1.59729282872903,0.471,0.187,6.45538542568497e-30,"10","SNHG12"
2.8334439575742e-34,1.16990231818217,0.661,0.319,6.83228341489867e-30,"10","SCAF11"
3.11887338816841e-34,1.80657752829356,0.336,0.105,7.52053940089048e-30,"10","CHID1"
3.29156757300643e-34,2.01638507326147,0.259,0.068,7.9369568887904e-30,"10","CPED1"
5.62064892699395e-34,1.97129718373293,0.281,0.078,1.35530707576605e-29,"10","BRD7"
5.64680158501584e-34,1.76643692940446,0.361,0.12,1.36161326619487e-29,"10","ATG7"
8.00749874456878e-34,1.49164449715638,0.493,0.203,1.93084817227787e-29,"10","TGFBR2"
9.49749847796602e-34,1.92965969703955,0.274,0.075,2.29013180799195e-29,"10","PPP2CB"
1.52196867261829e-33,1.65207837610355,0.38,0.13,3.66992306028449e-29,"10","SORBS3"
1.82329109251067e-33,1.43902718955206,0.526,0.228,4.39650181137098e-29,"10","SULT1A1"
2.13907607749073e-33,1.80034498748689,0.343,0.111,5.15795414565339e-29,"10","MAP3K3"
2.62127039920046e-33,1.60511791971123,0.409,0.147,6.32066931359207e-29,"10","ADAM28"
2.90735009650226e-33,1.56256145837763,0.566,0.262,7.01049328769591e-29,"10","CD93"
3.19513636311452e-33,1.3496456154203,0.573,0.266,7.70443231237805e-29,"10","PREX1"
3.31549165050665e-33,1.73148770931907,0.321,0.098,7.99464501686669e-29,"10","ADH5"
3.48789942267234e-33,1.88753095754179,0.292,0.085,8.41037187788982e-29,"10","TK2"
3.48969511867014e-33,0.606594947328229,1,0.996,8.4147018396493e-29,"10","TMSB4X"
4.4106030971605e-33,1.29561151259785,0.547,0.237,1.06352872481831e-28,"10","DST"
5.13547778337277e-33,1.34371797258963,0.558,0.253,1.23831775790468e-28,"10","MGST2"
5.62733855861153e-33,1.7759868638707,0.307,0.091,1.356920146638e-28,"10","MRPS18C"
5.68047888049877e-33,1.64641274551416,0.401,0.146,1.36973387245467e-28,"10","CAB39"
7.33134181790758e-33,1.10391121103473,0.701,0.376,1.76780645255206e-28,"10","FERMT3"
7.68167269103681e-33,1.09884723345344,0.73,0.408,1.85228173598971e-28,"10","TGOLN2"
7.70194564443668e-33,1.710258834497,0.336,0.107,1.85717015324302e-28,"10","SREBF1"
9.24158548615112e-33,1.46131280379823,0.474,0.191,2.22842350827562e-28,"10","PARP1"
1.03844507708362e-32,1.98869898295539,0.383,0.14,2.50400261437174e-28,"10","INTS6"
1.03929523724673e-32,1.73172423609079,0.325,0.102,2.50605260557305e-28,"10","TNFSF10"
1.46141673872681e-32,0.678005716357532,0.993,0.89,3.52391418209196e-28,"10","NPC2"
1.63907648213857e-32,1.85222305174801,0.343,0.113,3.95230512138074e-28,"10","EIF2AK2"
2.14469564073556e-32,1.56798897703619,0.405,0.148,5.17150459850567e-28,"10","GIT2"
2.21177883508026e-32,1.87922247112732,0.321,0.101,5.33326230502903e-28,"10","SEPTIN11"
2.79415418824763e-32,2.06301335282455,0.263,0.072,6.73754399412151e-28,"10","CKAP5"
3.85546998527829e-32,1.84346407332754,0.296,0.088,9.29669477550155e-28,"10","HERC2"
4.15683830941779e-32,1.29708994323649,0.609,0.31,1.00233842154991e-27,"10","NCKAP1L"
4.63344975543557e-32,0.988937665245322,0.843,0.621,1.11726373952818e-27,"10","CD302"
6.54521099093063e-32,1.90278549211776,0.277,0.08,1.5782467262431e-27,"10","LMO4"
6.58248663437138e-32,1.47851488093679,0.434,0.167,1.58723500214597e-27,"10","BOD1L1"
8.04963439260239e-32,1.77600690645166,0.343,0.114,1.94100834108822e-27,"10","APOL6"
8.20307724395054e-32,1.39716461621253,0.478,0.196,1.97800801583379e-27,"10","INPP5D"
9.94638215635938e-32,0.79352813407175,0.88,0.597,2.39837112936294e-27,"10","BLVRB"
1.04264254677889e-31,1.35658733961772,0.544,0.247,2.51412397304793e-27,"10","ZNF106"
1.51880711448985e-31,0.503271805960073,0.996,0.963,3.66229959516937e-27,"10","PSAP"
1.91607791386863e-31,1.30432582781512,0.547,0.251,4.62023867371142e-27,"10","FEZ2"
1.94759932358857e-31,1.24547214717192,0.551,0.247,4.69624624896911e-27,"10","TAF10"
