"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTPA",400.450914742573,-0.140654531983334,0.416673352493655,-0.337565460189767,0.735690674534297,0.988745898891126
"CACHD1",8.20345210458444,0.392888626050591,1.1642454640382,0.337462019983185,0.73576863833428,NA
"SLC9A9",403.505169788717,0.147647658720461,0.437542322518143,0.337447719047428,0.735779417290396,0.988745898891126
"NUP153",1069.15233456881,-0.115089369790024,0.341061263443714,-0.337444858521782,0.735781573342993,0.988745898891126
"LY6G5C",54.2978783748169,0.178035961042273,0.52772200865858,0.337366943430734,0.735840300774436,0.988745898891126
"FAM72B",28.6052643064231,0.327793327459693,0.972242791665809,0.337151717934635,0.736002532061529,0.988745898891126
"PDCD1LG2",26.637781402743,-0.318359461174107,0.94430314921288,-0.337136926250298,0.736013682074421,0.988745898891126
"VPS13B-DT",43.4675676689998,0.160394531616532,0.475859656956124,0.337062680712438,0.736069649407806,0.988745898891126
"RPL34",50804.2774520877,-0.0847081717055931,0.251318550152355,-0.337054991182469,0.736075445963975,0.988745898891126
"RASGEF1A",77.7367453302068,0.218153938000147,0.647254465480045,0.337045087573634,0.736082911569197,0.988745898891126
"SCAMP5",20.0207964925405,0.298406931163097,0.885725417503776,0.336906817017956,0.736187146214714,0.988745898891126
"SMN1",41.6329069736236,0.157055163057761,0.466241642292573,0.336853572935912,0.736227285324984,0.988745898891126
"LINC00944",276.462130629965,-0.153729143163763,0.45637914098747,-0.33684524413438,0.736233564222796,0.988745898891126
"OAS3",216.62237203837,-0.241693697405275,0.717815356798824,-0.336707337222674,0.736337531729664,0.988796114036977
"AL390728.5",632.909717878947,-0.120286932652774,0.357717420549194,-0.33626243996756,0.736672971013559,0.989157125530547
"WNT16",10.5631532008971,-0.443944232369741,1.3205389798318,-0.336184118113868,0.736732028556138,NA
"FAM172A",474.142836659242,-0.125118421743491,0.372344238821811,-0.336028891273829,0.736849079866225,0.989304152429323
"FBXO11",647.86426861383,-0.108039449956385,0.321624453088596,-0.335918021527499,0.736932686730141,0.989326969476277
"AC027373.1",10.9758967923913,-0.258600055378522,0.770212512791321,-0.335751563476075,0.737058218575804,0.989406061305842
"STX17",393.266453137948,-0.0849498805611909,0.253252732676433,-0.335435198125686,0.737296820101231,0.989556250445979
"CEP85",116.763409194224,0.118638728802551,0.353695125611197,0.33542653039829,0.737303357624239,0.989556250445979
"AP000866.2",8.08409652680275,0.353111312280142,1.05301348850905,0.335334082738206,0.737373086276946,NA
"MAFK",180.553677221774,-0.109286565337618,0.32603143044826,-0.335202545310924,0.737472302114544,0.98969356022456
"MTDH",4586.69519074525,0.0715882143311745,0.213905318005189,0.334672438248767,0.737872194736306,0.989978917624116
"LINC02325",32.8924922403501,-0.208594446086193,0.623384038973905,-0.334616276716903,0.737914565020006,0.989978917624116
"AC243965.1",48.6728298433096,-0.313256870382166,0.936823561193479,-0.334381929915477,0.738091373284826,0.989978917624116
"SRSF8",656.538397567703,0.0845476412065087,0.252864148596241,0.334359938630562,0.738107965820252,0.989978917624116
"AGRN",58.1357789204627,0.170617013708983,0.510466970190112,0.334237127321754,0.738200629815372,0.989978917624116
"HIST1H4K",11.2114308414869,0.308495538080638,0.922985206837911,0.334236709099081,0.738200945380627,0.989978917624116
"AC010889.2",9.18006556404309,-0.315665007572674,0.944450171779136,-0.334231510570887,0.738204867875793,NA
"C8orf33",359.586575579941,0.0993997537499525,0.297478007733325,0.334141520266801,0.738272770200124,0.989978917624116
